Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
Vitamin B 12,D014805,68-19-9,Homocystinuria,MESH:D006712,marker/mechanism,CBS,4.84,4
Hydroxocobalamin,D006879,13422-51-0,Methylmalonic acidemia with homocystinuria,MESH:C537359,therapeutic,MMACHC,6.94,2
5-methyltetrahydrofolate,C005984,134-35-0,Homocystinuria,MESH:D006712,therapeutic,MTRR,6.59,3
Betaine,D001622,107-43-7,Homocystinuria,MESH:D006712,therapeutic,,,1
Homocysteine,D006710,454-28-4,Homocystinuria,MESH:D006712,,CBS|MTRR,9.48,3
cylindrospermopsin,C089595,143545-90-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,9.13,2
monobutyl phthalate,C028577,131-70-4,Homocystinuria,MESH:D006712,,CBS|MTRR,8.26,3
bromfenacoum,C013418,56073-10-0,Homocystinuria,MESH:D006712,,CBS|MTRR,8.03,3
"5,10-methylenetetrahydrofolic acid",C013123,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,7.90,1
Ancitabine,D003504,31698-14-3,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,7.55,1
4-hydroxyphenylacetic acid,C008070,,Homocystinuria,MESH:D006712,,CBS,7.46,1
5-methyltetrahydrofolate,C005984,134-35-0,"Homocystinuria-Megaloblastic Anemia due to Defect in Cobalamin Metabolism, CblE Complementation Type",MESH:C565510,,MTRR,7.40,1
5-fluoro-2'-deoxyuridine,C576827,,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,7.27,1
7-hydroxymethotrexate,C011864,5939-37-7,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,7.20,1
methylmercury sulfide,C108833,54277-95-1,Homocystinuria,MESH:D006712,,CBS,7.11,1
5-methyltetrahydrofolate,C005984,134-35-0,Methylenetetrahydrofolate reductase deficiency,MESH:C537357,,MTHFR,6.92,1
2-acetylamino-3-(4-(2-acetylamino-2-carboxyethylsulfanylthiocarbonylamino)phenylthiocarbamoylsulfanyl)propionic acid,C539612,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,6.84,1
Pentachlorophenol,D010416,87-86-5,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,6.72,2
Cystathionine,D003540,56-88-2,Homocystinuria,MESH:D006712,,CBS,6.65,1
siomycin A,C024711,,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,6.63,1
Carbonates,D002254,,Homocystinuria,MESH:D006712,,CBS,6.49,1
Methotrexate,D008727,59-05-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,6.48,2
4-chloroaniline,C004658,106-47-8,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,6.38,1
frenolicin B,C018066,68930-68-7,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,6.38,1
"1,4-bis(2-(3,5-dichloropyridyloxy))benzene",C028474,76150-91-9,Homocystinuria,MESH:D006712,,CBS|MTRR,6.34,3
chloramine-T,C016300,127-65-1,Methylmalonic acidemia with homocystinuria,MESH:C537359,,PRDX1,6.33,1
Nitrogen Compounds,D017672,,Homocystinuria,MESH:D006712,,CBS,6.31,1
dicrotophos,C000944,3735-78-2,Methylmalonic acidemia with homocystinuria,MESH:C537359,,MMACHC|PRDX1,6.29,2
