Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
diphenylarsinic acid,C493087,,Phenylketonurias,MESH:D010661,,PAH|QDPR,10.73,2
2-hydroxyethidium,C506392,,Phenylketonurias,MESH:D010661,,HPH1,8.76,1
Clofibric Acid,D002995,882-09-7,Phenylketonurias,MESH:D010661,,PAH|QDPR,8.73,2
dihydroethidium,C067883,104821-25-2,Phenylketonurias,MESH:D010661,,HPH1,8.55,1
"7,8-dihydrobiopterin",C017226,6779-87-9,Phenylketonurias,MESH:D010661,,HPH1,8.30,1
alpha-Chlorohydrin,D000517,96-24-2,Phenylketonurias,MESH:D010661,,PAH|QDPR,8.18,2
Vancomycin,D014640,1404-90-6,Phenylketonurias,MESH:D010661,,PAH|QDPR,8.07,2
"2,4-diaminohypoxanthine",C017202,56-06-4,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,7.89,1
sapropterin,C003402,,Phenylketonurias,MESH:D010661,,HPH1,7.63,1
S-methylcysteine,C008425,7728-98-5,Phenylketonurias,MESH:D010661,,PAH,7.51,1
"7,8-dihydrobiopterin",C017226,6779-87-9,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,7.43,1
methidathion,C005828,950-37-8,Phenylketonurias,MESH:D010661,,PAH|QDPR,7.38,2
sepiapterin,C016727,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,7.34,1
peroxovanadate,C069276,,Phenylketonurias,MESH:D010661,,PAH,7.31,1
Neopterin,D019798,670-65-5,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,7.26,1
Selenium,D012643,7782-49-2,Phenylketonurias,MESH:D010661,,PAH|QDPR,7.20,2
K 7174,C410337,,Phenylketonurias,MESH:D010661,,PAH|QDPR,7.13,2
Cyclic GMP,D006152,7665-99-8,Phenylketonurias,MESH:D010661,,HPH1,7.04,1
sodium bichromate,C016104,10588-01-9,Phenylketonurias,MESH:D010661,,PAH|QDPR,7.04,2
"2,6-dinitrotoluene",C023514,606-20-2,Phenylketonurias,MESH:D010661,,PAH|QDPR,6.78,2
sapropterin,C003402,,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,6.76,1
"4-(4-(2,4-dioxothiazolidin-5-ylidenemethyl)-2-methoxyphenoxy)-3-trifluoromethylbenzonitrile",C575631,,6-pyruvoyl-tetrahydropterin synthase deficiency,MESH:C535325,,PTS,6.69,1
Carbocysteine,D002233,2387-59-9,Phenylketonurias,MESH:D010661,,PAH,6.66,1
decabromobiphenyl ether,C010902,1163-19-5,Phenylketonurias,MESH:D010661,,PAH|QDPR,6.54,2
corannulene,C434863,,"HYPERPHENYLALANINEMIA, MILD, NON-BH4-DEFICIENT",OMIM:617384,,DNAJC12,6.53,1
Cadmium,D002104,7440-43-9,Phenylketonurias,MESH:D010661,,PAH|QDPR,6.44,2
Guanosine Triphosphate,D006160,86-01-1,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,6.43,1
Triclosan,D014260,3380-34-5,Phenylketonurias,MESH:D010661,,PAH|QDPR,6.39,2
profenofos,C024273,41198-08-7,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,6.33,1
Diethylnitrosamine,D004052,55-18-5,Phenylketonurias,MESH:D010661,,PAH|QDPR,6.28,2
bismuth tripotassium dicitrate,C002791,57644-54-9,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D",OMIM:264070,,PCBD1,6.20,1
Cyclic GMP,D006152,7665-99-8,"Hyperphenylalaninemia, BH4-Deficient, B",MESH:C562656,,GCH1,6.17,1
methyl tert-butyl ether,C043243,1634-04-4,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, D",OMIM:264070,,PCBD1,6.15,1
NADP,D009249,53-59-8,"HYPERPHENYLALANINEMIA, BH4-DEFICIENT, C",OMIM:261630,,QDPR,6.14,1
acetamide,C030686,60-35-5,Phenylketonurias,MESH:D010661,,PAH|QDPR,6.14,2
