,alkaptonuria,homocystinuria,nonketotic hyperglycinemia,phenylketonuria,tyrosinemia I,tyrosinemia II,tyrosinemia III
HPD,0.9999999999955917,0.22301189954340195,0.48045351572131517,0.7852451680806778,0.28416147623900745,1.0,1.0
GGCX,0.8184098477700262,0.643001654164422,0.2161601983100443,0.7145512795260553,0.9233989545543451,0.9204619399398323,0.9447467188217953
VKORC1,0.9750563071071771,0.7385595911598433,0.4869415883738033,0.897097620374917,0.6414235862250839,0.9632899930489504,0.9780617229764147
ALAS1,0.44342753306830984,0.8197404120464207,0.9999999556136538,0.7499994120191456,0.81468376120697,0.3078545445636631,0.3082494184351322
MAOA,0.007411004267602147,0.01079144488037408,0.0014801433834816817,0.4066658620367569,0.22595475801661807,0.9999903732031463,0.14171264647883192
MAOB,0.007411004267602147,0.01079144488037408,0.0014801433834816817,0.4066658620367569,0.22595475801661807,0.9999903732031463,0.14171264647883192
AOC3,0.44342753306830984,0.2089249754463624,0.1976425241192134,0.6874490753168836,0.01064373144584935,0.9999999999082283,0.7755424130681752
AMD1,0.7450326114251411,0.5793873305662119,0.54284892028499,0.8479528501867144,0.23295164949409808,0.7402560503865272,0.7755424130681752
TYR,0.9999360457157604,0.2512401504606983,0.5133550257008774,0.8446390796561613,0.25960811415442614,1.0,1.0
COMT,0.8184098477700262,0.4412588064022327,0.23204935864495266,0.48466876380174284,0.5381425172364857,0.9999999999082283,0.7755424130681752
ADH1A,0.007411004267602147,0.01079144488037408,0.0014801433834816817,0.33874919854733726,0.22595475801661807,0.9431562028866598,0.14171264647883192
DDC,0.9999360457157604,0.2512401504606983,0.5133550257008774,0.8446390796561613,0.25960811415442614,1.0,1.0
AOX1,2.0138086141426543e-15,5.86388824580055e-08,6.151925988017784e-17,0.002141306021177964,8.327187767615626e-07,4.4749570945692515e-24,2.2683858312842615e-28
DHFR,0.020264246410743553,0.7512413035066428,0.9999999637353577,0.9999407157930384,0.18308725149040778,0.999997802063388,0.18567242415250673
TYMS,0.8184098477700262,0.7686752656738783,0.9999969640357504,0.7043518658684043,0.10808039962790339,0.3078545445636631,0.3082494184351322
ALPL,0.44342753306830984,0.3436048533275822,0.09010900493434598,0.4918878740717518,0.10808039962790339,0.04967461095356769,0.03930048280199877
TPH1,0.04274398449395469,0.40075606050700463,0.9089368202064083,0.999998002957031,0.0012910791065320125,0.9999999145262088,0.3082494184351322
AKR1B1,0.0007357167248109007,0.3844815045860523,0.9089368202064083,0.9999427079326952,0.01678610681872298,0.999997802063388,0.7079998577903719
AKR1C3,0.0002579402973739084,0.25222365796971913,0.517681560712807,0.922398044798529,0.01678610681872298,0.9995471838431296,0.7079998577903719
Hn,0.9920590187966234,0.4032977596930072,0.9089368202064083,0.999998002957031,0.10808039962790339,1.0,0.9999999999999836
Trxr-1,0.9999360457157604,0.3325958952168377,0.5832841002988118,0.9944102988777692,0.36375851548751914,1.0,1.0
THPO,0.9999360457157604,0.2512401504606983,0.5133550257008774,0.8446390796561613,0.25960811415442614,1.0,1.0
SLC25A4,0.8184098477700262,0.7811405467842649,0.7775042432139753,0.8330239809210015,0.9976309749104719,0.9870200540967227,0.9936936693295839
ZDS1,0.7577241272130637,0.43834585009179894,0.35026182155391383,0.7616263736010387,0.27519552662832825,0.4826472789463104,0.5009569859789483
TOP1,0.8184098477700262,0.8822319393572391,0.8318718678955734,0.9296960696806638,0.9980727229065511,0.9997753769961226,0.9999523650699064
DPEP1,0.8852086880171249,0.799574546565488,0.8370043157898626,0.8838005102953386,0.9999787476522943,0.8621062416619201,0.8937029373025891
CD80,0.5131559181679536,0.8070878179251783,0.890801972460342,0.639139149622599,0.9233989545543451,0.3078545445636631,0.3082494184351322
AVPR2,0.8184098477700262,0.6198208922546288,0.35026182155391383,0.5666775892222242,0.9233989545543451,0.3078545445636631,0.3082494184351322
SLC18A2,0.8184098477700262,0.6551449872406616,0.6455336623265437,0.7470453360962587,0.10808039962790339,0.9204619399398323,0.9447467188217953
