,alkaptonuria,homocystinuria,nonketotic hyperglycinemia,phenylketonuria,tyrosinemia I,tyrosinemia II,tyrosinemia III
HPD,1.0,0.2492086817469005,0.4647213273295503,0.7513881960491919,0.27711063964520505,1.0,1.0
GGCX,0.6790270450799486,0.6216636030691151,0.2222320134243029,0.6681729508412342,0.8950360640807875,0.9039591461900491,0.9371027396253475
VKORC1,0.991537441077548,0.7139143337117977,0.48986411352554593,0.8865575899963118,0.606285861358137,0.9555632064261992,0.9760810230579844
ALAS1,0.40416487567242343,0.8112477661326478,0.9999999999151933,0.6961706748091819,0.776882764375318,0.24819679656490873,0.23927535108126674
MAOA,0.037021215303574224,0.05296909769522111,0.0548752924854401,0.40844964630283676,0.22386858306900836,0.9999907129632888,0.17532490285837393
MAOB,0.037021215303574224,0.05296909769522111,0.0548752924854401,0.40844964630283676,0.22386858306900836,0.9999907129632888,0.17532490285837393
AOC3,0.40416487567242343,0.2713124003787165,0.324841952669754,0.6978817759223339,0.05837626870196363,1.0,0.7373134457757434
AMD1,0.6165807836442654,0.5302442122280175,0.4577481820834897,0.7579738621534834,0.23029010670781247,0.6951834657046287,0.7373134457757434
TYR,0.9999999968316499,0.28114580034090403,0.5611369482989268,0.8507942749012443,0.2546950576357433,1.0,1.0
COMT,0.9764119962195399,0.4527428650469697,0.21807868899627558,0.5079528291215567,0.5094235709167023,1.0,0.7373134457757434
ADH1A,0.037021215303574224,0.05296909769522111,0.0548752924854401,0.3693790003559131,0.22386858306900836,0.9312102885354739,0.17532490285837393
DDC,0.9999999968316499,0.28114580034090403,0.5611369482989268,0.8507942749012443,0.2546950576357433,1.0,1.0
AOX1,4.0658821747069055e-05,0.0013405648100491812,0.0019665532241285,0.012754220463357332,0.00790442807243916,0.0003276160849583194,7.640841189282778e-05
DHFR,0.06362507310845943,0.759028004483886,0.9999999999429605,0.9999995679587219,0.18433123843148036,0.999999995507621,0.30454371546361525
TYMS,0.6790270450799486,0.7689190467231134,0.9999924195570791,0.6438145858173507,0.11380917664527818,0.24819679656490873,0.23927535108126674
ALPL,0.40416487567242343,0.3741651659224139,0.1667266531592066,0.5295308426724591,0.11380917664527818,0.13173315079422776,0.11449540265322522
TPH1,0.09612991302310087,0.3965565927320427,0.8749830693363556,0.9999999970974889,0.035155052401458234,1.0,0.7602229383226833
AKR1B1,0.01110822247733295,0.3875465455558372,0.8749830693363556,0.9999995708612331,0.06575011901921916,0.999999995507621,0.6595119136465465
