	TargetID	DrugID	Highest_status	MOA
0	T71390	D07OAC	Investigative	Inhibitor
1	T70309	D07OAC	Investigative	Inhibitor
2	T97071	D0Y6UB	Investigative	Inhibitor
3	T86679	D0J2UW	Investigative	Agonist
4	T19229	D0UZ9U	Investigative	Modulator
5	T73725	D06MBI	Patented	Inhibitor
6	T46685	D06MBI	Patented	Inhibitor
7	T51282	D03KKR	Investigative	Inhibitor
8	T83813	D0F5NJ	Investigative	Agonist
9	T48873	D0F5NJ	Investigative	Antagonist
10	T32060	D0F5NJ	Investigative	Agonist
11	T31204	D0F5NJ	Investigative	Agonist
12	T06273	D0E2VC	Investigative	Inhibitor
13	T97655	D0Y7VM	Investigative	Inhibitor
14	T51452	D00WHO	Investigative	Inhibitor
15	T08910	D00WHO	Investigative	Inhibitor
16	T62292	D00WHO	Investigative	Inhibitor
17	T64382	D00WHO	Investigative	Inhibitor
18	T26368	D00WHO	Investigative	Inhibitor
19	T51487	D00WHO	Investigative	Inhibitor
20	T80387	D00WHO	Investigative	Inhibitor
21	T56175	D0X3GG	Investigative	Inhibitor
22	T89515	D06YIB	Investigative	Inhibitor
23	T89515	D0UZ9U	Investigative	Inhibitor
24	T52227	D0UZ9U	Investigative	Inhibitor
25	T83875	D00OWF	Patented	Inhibitor
26	T10265	D0T5PO	Investigative	Inhibitor
27	T02001	D0T5PO	Investigative	Inhibitor
28	T07663	D0T5PO	Investigative	Inhibitor
29	T61744	D0T5PO	Investigative	Inhibitor
30	T89515	D0B1PE	Investigative	Inhibitor
31	T68698	D0R2QS	Investigative	Inhibitor
32	T85943	D0VF6E	Investigative	Inhibitor
33	T17687	D0VF6E	Investigative	Antagonist
34	T06031	D0B9BU	Investigative	Inhibitor
35	T76508	D0B9BU	Investigative	Inhibitor
36	T20251	D0C9UF	Investigative	Blocker
37	T43760	D0R2QS	Investigative	Antagonist
38	T75440	D0VN4K	Investigative	Binder
39	T65200	D0B4VE	Investigative	Inhibitor
40	T75440	D0B1PE	Investigative	Binder
41	T91661	D07OAC	Investigative	Inhibitor
42	T58454	D0VN4K	Investigative	Binder
43	T78429	D0E3TC	Investigative	Inhibitor
44	T88318	D0E3TC	Investigative	Inhibitor
45	T20401	D0S8RD	Investigative	Inhibitor
46	T53378	D0S8RD	Investigative	Inhibitor
47	T13201	D0S8RD	Investigative	Inhibitor
48	T51408	D0S8RD	Investigative	Agonist
49	T78709	D0XK0T	Investigative	Antagonist
50	T77365	D0J2UW	Investigative	Agonist
51	T64382	D0Z8IJ	Investigative	Agonist
52	T54128	D0Z8IJ	Investigative	Agonist
53	T76198	D02IBM	Investigative	Inhibitor
54	T49898	D00PWQ	Patented	Inhibitor
55	T70977	D00PWQ	Patented	Inhibitor
56	T04820	D00PWQ	Patented	Inhibitor
57	T98459	D00PWQ	Patented	Inhibitor
58	T20973	D00PWQ	Patented	Inhibitor
59	T79232	D0I8ZZ	Investigative	Inhibitor
60	T59045	D00BRD	Patented	Inhibitor
61	T59045	D0B5YS	Patented	Inhibitor
62	T13259	D0B5YS	Patented	Inhibitor
63	T16987	D03SLR	Patented	Inhibitor
64	T20401	D03SLR	Patented	Inhibitor
65	T31992	D03SLR	Patented	Inhibitor
66	T64567	D03SLR	Patented	Inhibitor
67	T06569	D03SLR	Patented	Inhibitor
68	T13201	D03SLR	Patented	Inhibitor
69	T53378	D03SLR	Patented	Inhibitor
70	T43920	D03SLR	Patented	Inhibitor
71	T27812	D0F5NJ	Investigative	Inhibitor
72	T55959	D0F5NJ	Investigative	Inhibitor
73	T21945	D0F5NJ	Investigative	Inhibitor
74	T83011	D0B4VE	Investigative	Inhibitor
75	T46521	D0O4QB	Patented	Inhibitor
76	T14731	D04JZE	Patented	Inhibitor
77	T64682	D0B9BU	Investigative	Inhibitor
78	T58970	D0B9BU	Investigative	Inhibitor
79	T94479	D0B9BU	Investigative	Inhibitor
80	T51282	D0B9BU	Investigative	Inhibitor
81	T40097	D0B9BU	Investigative	Inhibitor
82	T12808	D0B9BU	Investigative	Inhibitor
83	T55729	D0B9BU	Investigative	Inhibitor
84	T65864	D0B9BU	Investigative	Inhibitor
85	T12499	D0B9BU	Investigative	Inhibitor
86	T62449	D0B9BU	Investigative	Inhibitor
87	T79798	D0B9BU	Investigative	Inhibitor
88	T70977	D0B9BU	Investigative	Inhibitor
89	T67619	D0B9BU	Investigative	Inhibitor
90	T59845	D0W4IL	Investigative	Inhibitor
91	T57291	D0W4IL	Investigative	Inhibitor
92	T28722	D00WHO	Investigative	Modulator
93	T72042	D06YIB	Investigative	Modulator
94	T75797	D0W2OT	Patented	Antagonist
95	T15497	D0W2OT	Patented	Antagonist
96	T18876	D0W2OT	Patented	Antagonist
97	T85467	D0W2OT	Patented	Antagonist
98	T38529	D0W2OT	Patented	Antagonist
99	T92803	D03TFJ	Patented	Inhibitor
100	T58921	D0H5FI	Patented	Agonist
101	T58921	D0PO7F	Patented	Agonist
102	T83011	D03SLR	Patented	Inhibitor
103	T76910	D00PWQ	Patented	Inhibitor
104	T16688	D02NRD	Patented	Inhibitor
105	T83011	D00BRD	Patented	Inhibitor
106	T83011	D0B5YS	Patented	Inhibitor
107	T83011	D0O4QB	Patented	Inhibitor
108	T39486	D00OWF	Patented	Inhibitor
109	T92803	D06MBI	Patented	Inhibitor
110	T92803	D00OWF	Patented	Inhibitor
111	T97149	D00OWF	Patented	Inhibitor
112	T90286	D0VF6E	Investigative	Inhibitor
113	T47888	D0K4BI	Patented	Inhibitor
114	T98264	D00MFW	Patented	Inhibitor
115	T66665	D0C0JT	Terminated	Inhibitor
116	T67801	D0C0JT	Terminated	Inhibitor
117	T86836	D0G2JZ	Terminated	Binder (minor groove binder)
118	T50269	D04ZCZ	Terminated	Inhibitor
119	T55285	D04ZCZ	Terminated	Inhibitor
120	T12808	D05XMY	Terminated	Inhibitor
121	T46084	D0C0JT	Terminated	Modulator
122	T02551	D06ZWG	Discontinued in Phase 1	Antagonist
123	T62820	D07WSR	Discontinued in Phase 1	Agonist
124	T40332	D05QMG	Discontinued in Phase 1	Inhibitor
125	T65864	D05QMG	Discontinued in Phase 1	Inhibitor
126	T28713	D05UGJ	Discontinued in Phase 1	Modulator
127	T62449	D05UGJ	Discontinued in Phase 1	Modulator
128	T11451	D0H4XV	Discontinued in Phase 1/2	Antagonist
129	T48703	D0H4XV	Discontinued in Phase 1/2	Antagonist
130	T46482	D0H4XV	Discontinued in Phase 1/2	Antagonist
131	T59626	D0N0PU	Discontinued in Phase 2	Antagonist
132	T27944	D0B7QP	Discontinued in Phase 2	Agonist
133	T59626	D0MM2K	Discontinued in Phase 2	Antagonist
134	T52450	D0T9HG	Discontinued in Phase 2	Inhibitor
135	T72335	D0T9HG	Discontinued in Phase 2	Inhibitor
136	T68443	D0T9HG	Discontinued in Phase 2	Inhibitor
