SPBC16H5.08c,SPBC16H5.08c
lectin-30A,lectin-30A
AC 005889A,lectin-30A
AC005889a,lectin-30A
CG17011,lectin-30A
DmelCG17011,lectin-30A
ccnb1.2,ccnb1.2
ccnb,ccnb1
ccnb1,ccnb1
pob1,pob1
FCGR3B,FCGR3B
CD16,FCGR3A
CD16b,FCGR3B
FCG3,FCGR3A
FCGR3,FCGR3A
FCR-10,FCGR3A
FCRIII,FCGR3A
FCRIIIb,FCGR3B
LINC00669,LINC00669
CHRNA5,CHRNA5
LNCR2,CHRNA3
TNMD,TNMD
BRICD4,TNMD
CHM1L,TNMD
TEM,CYLD
AT5G11460,AT5G11460
F15N18.50,AT5G11460
F15N18_50,AT5G11460
YLR462W,YLR462W
CAM4,CAM4
ACAM-4,CAM4
CALMODULIN 4,CAM4
T27F4.1,CAM4
T27F4_1,CAM4
AT1G50090,AT1G50090
F2J10.5,AT1G50090
F2J10_5,AT1G50090
ybbK,ybbK
OR10G3,OR10G3
OR14-40,OR10G3
ECM15,ECM15
L000003890,ECM15
SGD1,NOM1
L000003498,SGD1
AT1G61420,AT1G61420
T1F9.9,AT1G61420
T1F9_9,AT1G61420
CG31917,CG31917
"BcDNA:RE52596",CG31917
CG14038,CG31917
DmelCG31917,CG31917
Dmp18,CG31917
Dromel_CG31917_FBtr0079037_mORF,CG31917
Trs20,Trs20
"BcDNA:RE62842",Trs20
CG5161,Trs20
DmelCG5161,Trs20
"E(smoDN)B-left",Trs20
Group B-left,Trs20
Trs20p,Trs20
"l(3)72Dh",Trs20
CG5103,CG5103
DmelCG5103,CG5103
TEM1,CD248
L000002282,TEM1
Ras family GTPase TEM1,TEM1
CSPG4P10,CSPG4P10
AGPAT4,AGPAT4
1-AGPAT4,AGPAT4
LPAAT-delta,AGPAT4
dJ473J16.2,AGPAT4
DYNLT1,DYNLT1
CW-1,DYNLT1
TCTEL1,DYNLT1
tctex-1,DYNLT1
UNC5A,UNC5A
UNC5H1,UNC5A
C10orf107,C10orf107
bA63A2.1,C10orf107
ZFAND4,ZFAND4
ANUBL1,ZFAND4
Rab28,Rab28
2700023P08Rik,Rab28
AW496496,Rab28
BEL10,BEL10
BEL1-LIKE HOMEODOMAIN 10,BEL10
BLH10,BEL10
F14P1.20,BEL10
F14P1_20,BEL10
ARHGAP30,ARHGAP30
CG17737,CG17737
"BcDNA:RE14985",CG17737
DmelCG17737,CG17737
"anon-EST:Posey272",CG17737
CycB,CycB
2g,CycB
3510,CycB
CG3510,CycB
CYC-B,CycB
Cyc B,CycB
DmcycB,CycB
DmelCG3510,CycB
"chr2R:18312808..18312907",CycB
cyclin B,CycB
cyclinB,CycB
mAbF2F4,CycB
ygiW,ygiW
atm1,atm1
SPAC8C9.18,atm1
GTF2H5,GTF2H5
C6orf175,GTF2H5
TFB5,TFB5
TFIIH,GTF2H4
TGF2H5,GTF2H5
TTD,ERCC2
TTD-A,GTF2H5
TTDA,Tfb5
bA120J8.2,GTF2H5
PDPN,PDPN
AGGRUS,PDPN
GP36,PDPN
GP40,CD7
Gp38,PDPN
HT1A-1,PDPN
OTS8,PDPN
PA2.26,PDPN
T1A,ase
T1A-2,PDPN
T1A2,PDPN
TI1A,PDPN
ASB5,ASB5
ASB-5,ASB5
PXMP2,PXMP2
PMP22,PMP22
TMEM17,TMEM17
THPO,THPO
MGDF,THPO
MKCSF,THPO
ML,THPO
MPLLG,THPO
THCYT1,THPO
TPO,THPO
SPAC13C5.05c,SPAC13C5.05c
ksr-2,ksr-2
rfe,rfe
GDF9,GDF9
Ldb2,Ldb2
AI035351,Ldb2
AW146358,Ldb2
CLIM1,PDLIM1
CLP-36,PDLIM1
Ldb3,Ldb3
Hoxb9,Hoxb9
Hox-2.5,Hoxb9
Prex1,Prex1
G630042G04,Prex1
P-REX1,PREX1
Setd6,Setd6
uhpT,uhpT
DCAF16,DCAF16
C4orf30,DCAF16
ADR1,ADR1
DNA-binding transcription factor ADR1,ADR1
L000000050,ADR1
CG13869,CG13869
DmelCG13869,CG13869
ADIRF,ADIRF
AFRO,ADIRF
APM2,APM2
C10orf116,ADIRF
apM-2,ADIRF
SPCC11E10.07c,SPCC11E10.07c
PF07_0084,PF07_0084
AGL44,AGL44
AGAMOUS-like 44,AGL44
ANR1,AGL44
ARABIDOPSIS NITRATE REGULATED 1,AGL44
F15N24.5,AGL44
F15N24_5,AGL44
ZNF30,ZNF30
KOX28,ZNF30
CG42382,CG42382
CG8016,CG42382
DmelCG42382,CG42382
Dmel_CG8016,CG42382
